,condition,Average degree,Sparseness,Shortest path,Total triples,Average population
0,Average-population,11.563,0.724,2.589,3790,18.38
1,Ratio-claims-to-triples,11.54,0.719,2.595,3806,18.58
2,Ratio-perspectives-to-claims,11.515,0.757,2.561,3623,17.37
3,Sparseness,11.574,0.728,2.589,3769,18.07
4,Total-triples,11.552,0.723,2.591,3785,18.3
