Mention ID,Turn,GROUP A - Total nodes,GROUP A - Total edges,GROUP A - Average degree,GROUP A - Average degree centrality,GROUP A - Average closeness,GROUP A - Average degree connectivity,GROUP A - Average assortativity,GROUP A - Average node connectivity,GROUP A - Number of components,GROUP A - Number of strong components,GROUP A - Centrality entropy,GROUP A - Closeness entropy,GROUP A - Sparseness,GROUP B - Total classes,GROUP B - Total properties,GROUP B - Average population,GROUP B - Attribute richness,GROUP B - Relationship richness,GROUP B - Total axioms,GROUP C - Total triples,GROUP C - Total world instances,GROUP C - Total claims,GROUP C - Total perspectives,GROUP C - Total mentions,GROUP C - Total conflicts,GROUP C - Total sources,GROUP C - Total interactions,GROUP C - Total utterances,GROUP C - Ratio claim to triples,GROUP C - Ratio perspectives to triples,GROUP C - Ratio conflicts to triples,GROUP C - Ratio perspectives to claims,GROUP C - Ratio mentions to claims,GROUP C - Ratio conflicts to claims,GROUP C - Average perspectives per claim,GROUP C - Average mentions per claim,GROUP C - Average turns per interaction,GROUP C - Average claims per source,GROUP C - Average perspectives per source
10,10,217.0,502.0,4.626728110599078,0.021420037549069806,0.04850196724031755,0.841601076854533,-0.22165072751886658,0.0,1.0,-0.22165072751886658,7.045516955110706,7.418831454779738,0.010618191084966765,0.0,0.0,0.0,0.0,0.0,0.0,502.0,10.0,13.0,11.0,11.0,0.0,2.0,0.0,11.0,0.025896414342629483,0.021912350597609563,0.0,0.8461538461538461,0.8461538461538461,0.0,1.0,1.0,11.0,11.0,11.0
11,11,231.0,541.0,4.683982683982684,0.020365142104272538,0.0484855667292753,0.8566431884613702,-0.22525949088120403,0.0,1.0,-0.22525949088120403,7.121860067726157,7.508772231313549,0.010101010101010102,0.0,0.0,0.0,0.0,0.0,0.0,541.0,11.0,14.0,12.0,12.0,0.0,2.0,0.0,12.0,0.025878003696857672,0.022181146025878003,0.0,0.8571428571428571,0.8571428571428571,0.0,1.0,1.0,12.0,12.0,12.0
12,12,243.0,577.0,4.748971193415638,0.01962384790667619,0.05001235945817912,0.8779149076534697,-0.22985974823630073,0.0,1.0,-0.22985974823630073,7.176865336894258,7.585827945152255,0.009737675489847416,0.0,0.0,0.0,0.0,0.0,0.0,577.0,11.0,15.0,13.0,13.0,0.0,2.0,0.0,13.0,0.025996533795493933,0.022530329289428077,0.0,0.8666666666666667,0.8666666666666667,0.0,1.0,1.0,13.0,13.0,13.0
13,13,257.0,616.0,4.793774319066148,0.01872568093385214,0.05113047741817888,0.8937755068105262,-0.230171516680094,0.0,1.0,-0.230171516680094,7.243120137176952,7.670103852890642,0.00929612863177338,0.0,0.0,0.0,0.0,0.0,0.0,616.0,12.0,16.0,14.0,14.0,0.0,2.0,0.0,14.0,0.025974025974025976,0.022727272727272728,0.0,0.875,0.875,0.0,1.0,1.0,14.0,14.0,14.0
14,14,272.0,655.0,4.8161764705882355,0.017771868895159543,0.0519518356101479,0.9059283176833487,-0.22985899853194736,0.0,1.0,-0.22985899853194736,7.306468089845602,7.7559577132201785,0.008826232698961939,0.0,0.0,0.0,0.0,0.0,0.0,655.0,13.0,17.0,15.0,15.0,0.0,2.0,0.0,15.0,0.025954198473282442,0.022900763358778626,0.0,0.8823529411764706,0.8823529411764706,0.0,1.0,1.0,15.0,15.0,15.0
15,15,286.0,694.0,4.853146853146853,0.017028585449638083,0.0528756654451653,0.9212759912152625,-0.22952941458823747,0.0,1.0,-0.22952941458823747,7.364455703093557,7.830852528926633,0.008460071397134334,0.0,0.0,0.0,0.0,0.0,0.0,694.0,14.0,18.0,16.0,16.0,0.0,2.0,0.0,16.0,0.025936599423631124,0.023054755043227664,0.0,0.8888888888888888,0.8888888888888888,0.0,1.0,1.0,16.0,16.0,16.0
16,16,293.0,720.0,4.914675767918089,0.016831081396979752,0.05291567914915176,0.9431209291277549,-0.2279273586298517,0.0,1.0,-0.2279273586298517,7.390822192647514,7.862164069549346,0.008363521997926593,0.0,0.0,0.0,0.0,0.0,0.0,720.0,14.0,18.0,16.0,17.0,0.0,2.0,0.0,17.0,0.025,0.022222222222222223,0.0,0.8888888888888888,0.9444444444444444,0.0,1.0,1.0625,17.0,16.0,16.0
17,17,308.0,759.0,4.928571428571429,0.01605397859469521,0.05365317258963887,0.9546818441298963,-0.22731959484496045,0.0,1.0,-0.22731959484496045,7.445530285189877,7.937934152908979,0.007979844830494182,0.0,0.0,0.0,0.0,0.0,0.0,759.0,15.0,19.0,17.0,18.0,0.0,2.0,0.0,18.0,0.025032938076416336,0.022397891963109356,0.0,0.8947368421052632,0.9473684210526315,0.0,1.0,1.0588235294117647,18.0,17.0,17.0
18,18,320.0,795.0,4.96875,0.015576018808777431,0.0543521177272777,0.9760402648378192,-0.22830509239493993,0.0,1.0,-0.22830509239493993,7.482148268385201,7.994060087362138,0.007744140625,0.0,0.0,0.0,0.0,0.0,0.0,795.0,15.0,20.0,18.0,19.0,0.0,2.0,0.0,19.0,0.025157232704402517,0.022641509433962263,0.0,0.9,0.95,0.0,1.0,1.0555555555555556,19.0,18.0,18.0
19,19,332.0,831.0,5.006024096385542,0.015123939868234269,0.055037348042040454,0.9970584719831707,-0.2305635794864084,0.0,1.0,-0.2305635794864084,7.5193883989349235,8.0482710066387,0.007521048047612135,0.0,0.0,0.0,0.0,0.0,0.0,831.0,15.0,21.0,19.0,20.0,0.0,2.0,0.0,20.0,0.02527075812274368,0.02286401925391095,0.0,0.9047619047619048,0.9523809523809523,0.0,1.0,1.0526315789473684,20.0,19.0,19.0
20,20,344.0,868.0,5.046511627906977,0.014712861888941624,0.05529719157864507,1.0093755428528002,-0.23337620636563783,0.0,1.0,-0.23337620636563783,7.555110904410258,8.101110004833272,0.0073181449432125475,0.0,0.0,0.0,0.0,0.0,0.0,868.0,15.0,22.0,20.0,21.0,0.0,2.0,0.0,21.0,0.02534562211981567,0.02304147465437788,0.0,0.9090909090909091,0.9545454545454546,0.0,1.0,1.05,21.0,20.0,20.0
21,21,356.0,904.0,5.078651685393258,0.014306061085614814,0.055171101733429644,1.016806021601957,-0.23503210067486927,0.0,1.0,-0.23503210067486927,7.593750631000447,8.151174073512095,0.007117156924630728,0.0,0.0,0.0,0.0,0.0,0.0,904.0,15.0,23.0,21.0,22.0,0.0,2.0,0.0,22.0,0.025442477876106196,0.023230088495575223,0.0,0.9130434782608695,0.9565217391304348,0.0,1.0,1.0476190476190477,22.0,21.0,21.0
22,22,368.0,940.0,5.108695652173913,0.013920151640800854,0.05580962753813377,1.0244220997577775,-0.23721088475200994,0.0,1.0,-0.23721088475200994,7.630516862601917,8.206161782226806,0.006926394139886579,0.0,0.0,0.0,0.0,0.0,0.0,940.0,15.0,24.0,22.0,23.0,0.0,2.0,0.0,23.0,0.02553191489361702,0.023404255319148935,0.0,0.9166666666666666,0.9583333333333334,0.0,1.0,1.0454545454545454,23.0,22.0,22.0
23,23,380.0,976.0,5.136842105263158,0.013553673100958199,0.05637327328547812,1.0361037462076244,-0.23904421151234484,0.0,1.0,-0.23904421151234484,7.662939314636927,8.25491674255018,0.0067451523545706375,0.0,0.0,0.0,0.0,0.0,0.0,976.0,15.0,25.0,23.0,24.0,0.0,2.0,0.0,24.0,0.025614754098360656,0.0235655737704918,0.0,0.92,0.96,0.0,1.0,1.0434782608695652,24.0,23.0,23.0
24,24,392.0,1012.0,5.163265306122449,0.013205282112845136,0.05663602837045809,1.0447896218378458,-0.24163598427420058,0.0,1.0,-0.24163598427420058,7.6949027187012184,8.301109986331518,0.006572782174094127,0.0,0.0,0.0,0.0,0.0,0.0,1012.0,15.0,26.0,24.0,25.0,0.0,2.0,0.0,25.0,0.025691699604743084,0.023715415019762844,0.0,0.9230769230769231,0.9615384615384616,0.0,1.0,1.0416666666666667,25.0,24.0,24.0
25,25,406.0,1051.0,5.177339901477833,0.012783555312290945,0.057157682794524295,1.0552991278879276,-0.24080941723411653,0.0,1.0,-0.24080941723411653,7.734695280006777,8.353583623078347,0.006363901089567813,0.0,0.0,0.0,0.0,0.0,0.0,1051.0,16.0,27.0,25.0,26.0,0.0,2.0,0.0,26.0,0.025689819219790674,0.023786869647954328,0.0,0.9259259259259259,0.9629629629629629,0.0,1.0,1.04,26.0,25.0,25.0
26,26,413.0,1077.0,5.215496368038741,0.012658971767084321,0.05710242574109721,1.0714194024291985,-0.23946919819816423,0.0,1.0,-0.23946919819816423,7.753938156225459,8.375496696867625,0.006302434791785143,0.0,0.0,0.0,0.0,0.0,0.0,1077.0,16.0,27.0,25.0,27.0,0.0,2.0,0.0,27.0,0.025069637883008356,0.02321262766945218,0.0,0.9259259259259259,1.0,0.0,1.0,1.08,27.0,25.0,25.0
27,27,425.0,1114.0,5.24235294117647,0.012364039955604884,0.057506174488085315,1.091202614379085,-0.2392809374390751,0.0,1.0,-0.2392809374390751,7.7808180940894065,8.417266604173715,0.006150865051903114,0.0,0.0,0.0,0.0,0.0,0.0,1114.0,16.0,28.0,26.0,28.0,0.0,2.0,0.0,28.0,0.025134649910233394,0.02333931777378815,0.0,0.9285714285714286,1.0,0.0,1.0,1.0769230769230769,28.0,26.0,26.0
28,28,438.0,1153.0,5.264840182648402,0.012047689205145085,0.058111826240882195,1.1047052389518142,-0.23842523725648637,0.0,1.0,-0.23842523725648637,7.816434430561241,8.461627161898019,0.005994453827067826,0.0,0.0,0.0,0.0,0.0,0.0,1153.0,17.0,29.0,27.0,29.0,0.0,2.0,0.0,29.0,0.02515177797051171,0.023417172593235037,0.0,0.9310344827586207,1.0,0.0,1.0,1.0740740740740742,29.0,27.0,27.0
