,condition,Average degree,Sparseness,Shortest path,Total triples,Average population
0,Average-population,10.806,0.774,2.564,3107,13.84
1,Ratio-claims-to-triples,10.816,0.776,2.563,3098,13.75
2,Ratio-perspectives-to-claims,10.802,0.774,2.564,3102,13.81
3,Sparseness,10.789,0.769,2.566,3116,13.97
4,Total-triples,10.806,0.774,2.564,3105,13.84
