,condition,Average degree,Sparseness,Shortest path,Total triples,Average population
0,Average-population,10.808,0.777,2.563,3090,13.68
1,Ratio-claims-to-triples,10.8,0.773,2.565,3106,13.86
2,Ratio-perspectives-to-claims,10.781,0.768,2.568,3117,14.0
3,Sparseness,10.777,0.766,2.568,3127,14.13
4,Total-triples,10.791,0.771,2.566,3112,13.94
