,condition,Average degree,Sparseness,Shortest path,Total triples,Average population
0,Average-population,10.891,0.799,2.55,3041,13.09
1,Ratio-claims-to-triples,10.87,0.795,2.554,3046,13.16
2,Ratio-perspectives-to-claims,10.836,0.782,2.56,3086,13.62
3,Sparseness,10.795,0.771,2.566,3111,13.93
4,Total-triples,10.753,0.759,2.572,3140,14.27
