,condition,Average degree,Sparseness,Shortest path,Total triples,Average population
0,Average-degree,10.76302922968396,0.008405617175635783,2.5062866045214878,2805.4583333333335,11.922385620915032
1,Average-population,10.795207100804944,0.008484060158019453,2.501226682938096,2793.375,11.784313725490195
2,Shortest-path,10.778706512666416,0.008441876101551175,2.5043663977943043,2801.1666666666665,11.869281045751634
3,Sparseness,10.801419777042526,0.008504992435302176,2.5002803955953774,2789.0,11.736111111111112
4,Total-triples,10.789745750305734,0.008478725456021964,2.501764580181472,2792.625,11.78267973856209
