,condition,Average degree,Sparseness,Shortest path,Total triples,Average population
0,Average-population,10.816,0.778,2.563,3091,13.68
1,Ratio-claims-to-triples,10.818,0.779,2.562,3087,13.62
2,Ratio-perspectives-to-claims,10.773,0.766,2.569,3126,14.1
3,Sparseness,10.781,0.768,2.567,3114,13.96
4,Total-triples,10.81,0.775,2.563,3100,13.77
