,condition,Average degree,Sparseness,Shortest path,Total triples,Average population
0,Average-degree,10.801482264836658,0.008477006518282397,2.501557788374375,2799.3333333333335,11.836601307189541
1,Average-population,10.78594460566457,0.008467616852495393,2.50315024833084,2793.3333333333335,11.790849673202615
2,Shortest-path,10.70100970123586,0.008237848855021787,2.5166693110552263,2835.6666666666665,12.254901960784315
3,Sparseness,10.818584529925324,0.008557457404926678,2.497579174268974,2776.6666666666665,11.607843137254903
4,Total-triples,10.75921002750271,0.008379215508300389,2.5071502229888596,2813.3333333333335,12.00653594771242
