Mention ID,Turn,GROUP A - Total nodes,GROUP A - Total edges,GROUP A - Average degree,GROUP A - Average degree centrality,GROUP A - Average closeness,GROUP A - Average degree connectivity,GROUP A - Average assortativity,GROUP A - Average node connectivity,GROUP A - Number of components,GROUP A - Number of strong components,GROUP A - Centrality entropy,GROUP A - Closeness entropy,GROUP A - Sparseness,GROUP B - Total classes,GROUP B - Total properties,GROUP B - Average population,GROUP B - Attribute richness,GROUP B - Relationship richness,GROUP B - Total axioms,GROUP C - Total triples,GROUP C - Total world instances,GROUP C - Total claims,GROUP C - Total perspectives,GROUP C - Total mentions,GROUP C - Total conflicts,GROUP C - Total sources,GROUP C - Total interactions,GROUP C - Total utterances,GROUP C - Ratio claim to triples,GROUP C - Ratio perspectives to triples,GROUP C - Ratio conflicts to triples,GROUP C - Ratio perspectives to claims,GROUP C - Ratio mentions to claims,GROUP C - Ratio conflicts to claims,GROUP C - Average perspectives per claim,GROUP C - Average mentions per claim,GROUP C - Average turns per interaction,GROUP C - Average claims per source,GROUP C - Average perspectives per source
12,12,255.0,594.0,4.658823529411765,0.01834182491894396,0.0409127323279998,0.8728269346954466,-0.21147412307002422,0.0,1.0,-0.21147412307002422,7.266980759594757,7.568839373278192,0.009134948096885814,0.0,0.0,0.0,0.0,0.0,0.0,594.0,15.0,15.0,13.0,13.0,0.0,2.0,0.0,13.0,0.025252525252525252,0.021885521885521887,0.0,0.8666666666666667,0.8666666666666667,0.0,1.0,1.0,13.0,13.0,13.0
13,13,270.0,633.0,4.688888888888889,0.017430813713341594,0.040472722703260126,0.8811699000587889,-0.21231620424007475,0.0,1.0,-0.21231620424007475,7.332917938882233,7.646066844397769,0.00868312757201646,0.0,0.0,0.0,0.0,0.0,0.0,633.0,16.0,16.0,14.0,14.0,0.0,2.0,0.0,14.0,0.02527646129541864,0.022116903633491312,0.0,0.875,0.875,0.0,1.0,1.0,14.0,14.0,14.0
14,14,282.0,670.0,4.75177304964539,0.016910224375962242,0.04317580533164377,0.8946959597575498,-0.21650825709278207,0.0,1.0,-0.21650825709278207,7.382713066817706,7.77075762853614,0.008425129520647855,0.0,0.0,0.0,0.0,0.0,0.0,670.0,16.0,17.0,15.0,15.0,0.0,2.0,0.0,15.0,0.025373134328358207,0.022388059701492536,0.0,0.8823529411764706,0.8823529411764706,0.0,1.0,1.0,15.0,15.0,15.0
15,15,296.0,709.0,4.79054054054054,0.016239120476408613,0.04327913962082412,0.9071147039897038,-0.21593426197406737,0.0,1.0,-0.21593426197406737,7.439066545560651,7.844456879618781,0.008092129291453616,0.0,0.0,0.0,0.0,0.0,0.0,709.0,17.0,18.0,16.0,16.0,0.0,2.0,0.0,16.0,0.02538787023977433,0.022566995768688293,0.0,0.8888888888888888,0.8888888888888888,0.0,1.0,1.0,16.0,16.0,16.0
16,16,308.0,745.0,4.837662337662338,0.015757857777401754,0.04637354549175246,0.9216077753415416,-0.21691995204084227,0.0,1.0,-0.21691995204084227,7.4789102824249944,7.926244437833638,0.007853347950750548,0.0,0.0,0.0,0.0,0.0,0.0,745.0,17.0,19.0,17.0,17.0,0.0,2.0,0.0,17.0,0.025503355704697986,0.022818791946308724,0.0,0.8947368421052632,0.8947368421052632,0.0,1.0,1.0,17.0,17.0,17.0
17,17,323.0,784.0,4.854489164086687,0.015076053304617039,0.04678758355502692,0.9329723595977466,-0.21542166839248061,0.0,1.0,-0.21542166839248061,7.5319817384457455,7.99852230960926,0.007514689108493324,0.0,0.0,0.0,0.0,0.0,0.0,784.0,18.0,20.0,18.0,18.0,0.0,2.0,0.0,18.0,0.025510204081632654,0.02295918367346939,0.0,0.9,0.9,0.0,1.0,1.0,18.0,18.0,18.0
18,18,338.0,823.0,4.8698224852071,0.014450511825540358,0.047477371945067806,0.9395227960445349,-0.21600956097906274,0.0,1.0,-0.21600956097906274,7.581714213590937,8.065890751995592,0.007203879415986835,0.0,0.0,0.0,0.0,0.0,0.0,823.0,19.0,21.0,19.0,19.0,0.0,2.0,0.0,19.0,0.02551640340218712,0.023086269744835967,0.0,0.9047619047619048,0.9047619047619048,0.0,1.0,1.0,19.0,19.0,19.0
19,19,345.0,849.0,4.921739130434783,0.014307381193124368,0.047525743527294634,0.9556383712905452,-0.21482196142597662,0.0,1.0,-0.21482196142597662,7.604057967762603,8.091831775178042,0.007132955261499685,0.0,0.0,0.0,0.0,0.0,0.0,849.0,19.0,21.0,19.0,20.0,0.0,2.0,0.0,20.0,0.024734982332155476,0.02237926972909305,0.0,0.9047619047619048,0.9523809523809523,0.0,1.0,1.0526315789473684,20.0,19.0,19.0
20,20,359.0,887.0,4.9415041782729805,0.0138030842968519,0.04805812134741402,0.9671934147560889,-0.21934998961732466,0.0,1.0,-0.21934998961732466,7.6401284262741544,8.150867667641787,0.0068745587014377605,0.0,0.0,0.0,0.0,0.0,0.0,887.0,19.0,22.0,20.0,21.0,0.0,2.0,0.0,21.0,0.02480270574971815,0.02254791431792559,0.0,0.9090909090909091,0.9545454545454546,0.0,1.0,1.05,21.0,20.0,20.0
21,21,374.0,926.0,4.951871657754011,0.013275795329099225,0.04869351885071882,0.9751998001998002,-0.21994874972128978,0.0,1.0,-0.21994874972128978,7.68424752131491,8.211963461457387,0.0066130000857902715,0.0,0.0,0.0,0.0,0.0,0.0,926.0,20.0,23.0,21.0,22.0,0.0,2.0,0.0,22.0,0.024838012958963283,0.02267818574514039,0.0,0.9130434782608695,0.9565217391304348,0.0,1.0,1.0476190476190477,22.0,21.0,21.0
22,22,388.0,966.0,4.979381443298969,0.012866618716534804,0.04869568655245916,0.9803243100923513,-0.21868414482563125,0.0,1.0,-0.21868414482563125,7.730121810335734,8.266295765298498,0.006410086087788288,0.0,0.0,0.0,0.0,0.0,0.0,966.0,21.0,24.0,22.0,23.0,0.0,2.0,0.0,23.0,0.024844720496894408,0.022774327122153208,0.0,0.9166666666666666,0.9583333333333334,0.0,1.0,1.0454545454545454,23.0,22.0,22.0
23,23,402.0,1006.0,5.0049751243781095,0.012481234724134935,0.04876078579615087,0.9851646832990117,-0.21774410632693586,0.0,1.0,-0.21774410632693586,7.772656262157504,8.318969843410374,0.006218905472636816,0.0,0.0,0.0,0.0,0.0,0.0,1006.0,22.0,25.0,23.0,24.0,0.0,2.0,0.0,24.0,0.02485089463220676,0.02286282306163022,0.0,0.92,0.96,0.0,1.0,1.0434782608695652,24.0,23.0,23.0
24,24,412.0,1038.0,5.038834951456311,0.012259939054638224,0.04903544800136412,0.9988813366694271,-0.2173599950660577,0.0,1.0,-0.2173599950660577,7.7967427872905475,8.353635599008218,0.006109199736073145,0.0,0.0,0.0,0.0,0.0,0.0,1038.0,22.0,25.0,24.0,25.0,1.0,2.0,0.0,25.0,0.024084778420038536,0.023121387283236993,0.0009633911368015414,0.96,1.0,0.04,1.0434782608695652,1.0869565217391304,25.0,23.0,24.0
25,25,427.0,1077.0,5.044496487119438,0.011841541049576148,0.04962312667869749,1.0062060889929743,-0.21793349683019558,0.0,1.0,-0.21793349683019558,7.834692573330768,8.407294579637691,0.005901419960620637,0.0,0.0,0.0,0.0,0.0,0.0,1077.0,23.0,26.0,25.0,26.0,1.0,2.0,0.0,26.0,0.02414113277623027,0.02321262766945218,0.0009285051067780873,0.9615384615384616,1.0,0.038461538461538464,1.0416666666666667,1.0833333333333333,26.0,24.0,25.0
