,condition,Average degree,Sparseness,Shortest path,Total triples,Average population
0,Average-degree,12.377220001940293,0.007453208957325254,2.5554722782165995,4222.0,21.0
1,Average-population,12.406234983052178,0.0075598892157641255,2.548265924670018,4170.0,20.320261437908496
2,Shortest-path,12.492120867822512,0.007802199731170176,2.5303795963764366,4076.0,19.03267973856209
3,Sparseness,12.4519493283057,0.007649692028219118,2.5405996440016807,4146.0,19.973856209150327
4,Total-triples,12.397981762095663,0.0075135023588397,2.550696149312929,4197.666666666667,20.679738562091504
