,condition,Average degree,Sparseness,Shortest path,Total triples,Average population
0,Average-degree,10.707717224427485,0.008262305875040484,2.5147876557606312,2831.3333333333335,12.215686274509805
1,Average-population,10.86156384517283,0.008662931281519282,2.4908530909282147,2763.3333333333335,11.444444444444443
2,Shortest-path,10.804214463761687,0.008498031141224098,2.500266030040048,2792.6666666666665,11.771241830065359
3,Sparseness,10.864684592162192,0.008681373150077278,2.4891934553932433,2761.0,11.431372549019608
4,Total-triples,10.751714392760457,0.008378061135109395,2.508012223814424,2810.6666666666665,11.980392156862743
