,condition,Average degree,Sparseness,Shortest path,Total triples,Average population,Ratio claims to triples,Ratio perspectives to claims,Ratio conflicts to claims
0,Average-degree,10.916666666666666,0.009676054170514004,2.4066223250433776,2489.0,9.686274509803921,0.0012053033346725592,0.6666666666666666,0.0
1,Average-population,10.730688935281837,0.009122170841305607,2.4404398983237394,2570.0,10.588235294117647,0.0023346303501945525,0.8333333333333334,0.0
2,Ratio-claims-to-triples,10.804255319148936,0.00933454051607062,2.427900013609763,2539.0,10.235294117647058,0.0019692792437967705,0.8,0.0
3,Ratio-conflicts-to-claims,10.730688935281837,0.009122170841305607,2.4404398983237394,2570.0,10.588235294117647,0.0023346303501945525,0.8333333333333334,0.0
4,Ratio-perspectives-to-claims,10.783898305084746,0.009282533754668199,2.4303321458130913,2545.0,10.313725490196079,0.0019646365422396855,0.8,0.0
5,Shortest-path,10.859611231101512,0.00950230677010202,2.4174169962506897,2514.0,9.96078431372549,0.0015910898965791568,0.75,0.0
6,Sparseness,10.763713080168776,0.009231070519325606,2.4327436864969982,2551.0,10.392156862745098,0.001960015680125441,0.8,0.0
7,Total-triples,10.763713080168776,0.009231070519325606,2.4327436864969982,2551.0,10.392156862745098,0.001960015680125441,0.8,0.0
